,Customer total,Longitude span (miles),Latitude span (miles)
count,30.0,30.0,30.0
mean,192727.83333333334,36.28955787284097,32.95691596091503
std,144883.12764505274,54.70976523129985,45.484612102427256
min,22589.0,6.13700218949993,6.4463347738501255
25%,93897.25,13.417648414169982,14.615610782624966
50%,155540.0,18.005505139439983,20.140881023324933
75%,241893.75,28.439900048332152,30.67492922902488
max,584926.0,295.77336641579984,257.8692648180006
