USAGE_DATE,RPT_NM,ADJ_CCF,USAGE_THERM,CUST_COUNT,LATEST_UPDATE
3/15/2021,AMI_NONRES_INCL_CAT,128091.676,131735.597,1397,4/14/2021
3/15/2021,AMI_NONRES_EXCL_CAT,513935.744,528637.906,32687,4/14/2021
3/14/2021,AMI_RES_INCL_CAT,5160.189,5308.063,1321,4/14/2021
3/14/2021,AMI_RES_EXCL_CAT,1213170.916,1247959.631,867950,4/14/2021
3/14/2021,AMI_NONRES_INCL_CAT,109561.455,112681.315,1398,4/14/2021
3/14/2021,AMI_NONRES_EXCL_CAT,390947.372,402130.533,32606,4/14/2021
3/13/2021,AMI_RES_INCL_CAT,5163.521,5311.457,1320,4/14/2021
3/13/2021,AMI_RES_EXCL_CAT,1350792.26,1389531.614,867358,4/14/2021
3/13/2021,AMI_NONRES_INCL_CAT,111922.815,115123.241,1391,4/14/2021
3/13/2021,AMI_NONRES_EXCL_CAT,437063.768,449562.907,32554,4/14/2021
3/12/2021,AMI_RES_INCL_CAT,5242.398,5392.539,1322,4/14/2021
3/12/2021,AMI_RES_EXCL_CAT,1425586.122,1466455.14,867911,4/14/2021
3/12/2021,AMI_NONRES_INCL_CAT,131735.887,135516.775,1394,4/14/2021
3/12/2021,AMI_NONRES_EXCL_CAT,540033.973,555476.184,32569,4/14/2021
3/11/2021,AMI_RES_INCL_CAT,5235.801,5385.676,1320,4/14/2021
3/11/2021,AMI_RES_EXCL_CAT,1331736.982,1369937.739,868229,4/14/2021
3/11/2021,AMI_NONRES_INCL_CAT,130671.692,134421.08,1389,4/14/2021
3/11/2021,AMI_NONRES_EXCL_CAT,518699.321,533534.601,32622,4/14/2021
3/10/2021,AMI_RES_INCL_CAT,4799.761,4937.372,1321,4/14/2021
3/10/2021,AMI_RES_EXCL_CAT,1236854.98,1272339.59,868729,4/14/2021
3/10/2021,AMI_NONRES_INCL_CAT,129149.78,132855.553,1396,4/14/2021
3/10/2021,AMI_NONRES_EXCL_CAT,488929.595,502913.149,32643,4/14/2021
3/9/2021,AMI_RES_INCL_CAT,4718.594,4853.731,1323,4/14/2021
3/9/2021,AMI_RES_EXCL_CAT,1101061.74,1132649.604,868842,4/14/2021
3/9/2021,AMI_NONRES_INCL_CAT,134734.496,138602.221,1401,4/14/2021
3/9/2021,AMI_NONRES_EXCL_CAT,467914.235,481295.77,32644,4/14/2021
3/8/2021,AMI_RES_INCL_CAT,4437.06,4564.163,1316,4/14/2021
3/8/2021,AMI_RES_EXCL_CAT,944506.171,971607.86,867169,4/14/2021
3/8/2021,AMI_NONRES_INCL_CAT,105791.971,108825.611,1390,4/14/2021
3/8/2021,AMI_NONRES_EXCL_CAT,419724.355,431732.495,32565,4/14/2021
3/7/2021,AMI_RES_INCL_CAT,4675.085,4808.974,1322,4/14/2021
3/7/2021,AMI_RES_EXCL_CAT,1031340.437,1060907.723,868464,4/14/2021
3/7/2021,AMI_NONRES_INCL_CAT,91819.799,94455.135,1396,4/14/2021
3/7/2021,AMI_NONRES_EXCL_CAT,369541.254,380110.772,32649,4/14/2021
3/6/2021,AMI_RES_INCL_CAT,4480.84,4609.118,1323,4/14/2021
3/6/2021,AMI_RES_EXCL_CAT,945227.255,972328.232,868350,4/14/2021
3/6/2021,AMI_NONRES_INCL_CAT,107824.526,110919.783,1393,4/14/2021
3/6/2021,AMI_NONRES_EXCL_CAT,391335.542,402525.213,32644,4/14/2021
3/5/2021,AMI_RES_INCL_CAT,4631.589,4764.192,1328,4/14/2021
3/5/2021,AMI_RES_EXCL_CAT,1032430.699,1062032.046,868021,4/14/2021
3/5/2021,AMI_NONRES_INCL_CAT,118572.001,121970.753,1393,4/14/2021
3/5/2021,AMI_NONRES_EXCL_CAT,467183.567,480538.529,32624,4/14/2021
3/4/2021,AMI_RES_INCL_CAT,4879.149,5018.837,1323,4/14/2021
3/4/2021,AMI_RES_EXCL_CAT,1115263.374,1147236.555,867711,4/14/2021
3/4/2021,AMI_NONRES_INCL_CAT,121080.651,124552.942,1396,4/14/2021
3/4/2021,AMI_NONRES_EXCL_CAT,472527.995,486036.18,32595,4/14/2021
3/3/2021,AMI_RES_INCL_CAT,5361.63,5515.192,1321,4/14/2021
3/3/2021,AMI_RES_EXCL_CAT,1606116.794,1652140.921,866587,4/14/2021
3/3/2021,AMI_NONRES_INCL_CAT,134921.944,138787.134,1379,4/14/2021
3/3/2021,AMI_NONRES_EXCL_CAT,538773.229,554172.596,32473,4/14/2021
3/2/2021,AMI_RES_INCL_CAT,4788.839,4925.968,1323,4/14/2021
3/2/2021,AMI_RES_EXCL_CAT,1119010.707,1151090.165,868039,4/14/2021
3/2/2021,AMI_NONRES_INCL_CAT,126097.957,129716.829,1388,4/14/2021
3/2/2021,AMI_NONRES_EXCL_CAT,465525.044,478828.974,32633,4/14/2021
3/1/2021,AMI_RES_INCL_CAT,4638.185,4770.973,1326,4/14/2021
3/1/2021,AMI_RES_EXCL_CAT,1102392.914,1133997.913,868142,4/14/2021
3/1/2021,AMI_NONRES_INCL_CAT,115806.907,119128.142,1391,4/14/2021
3/1/2021,AMI_NONRES_EXCL_CAT,447479.233,460269.587,32632,4/14/2021
2/28/2021,AMI_RES_INCL_CAT,4777.097,4918.759,1325,4/14/2021
2/28/2021,AMI_RES_EXCL_CAT,1109591.914,1142189.085,868372,4/14/2021
2/28/2021,AMI_NONRES_INCL_CAT,99377.701,102332.043,1386,4/14/2021
2/28/2021,AMI_NONRES_EXCL_CAT,370878.311,381968.066,32643,4/14/2021
2/27/2021,AMI_RES_INCL_CAT,4670.904,4809.444,1329,4/14/2021
2/27/2021,AMI_RES_EXCL_CAT,1132217.538,1165397.397,868181,4/14/2021
2/27/2021,AMI_NONRES_INCL_CAT,103460.754,106534.318,1378,4/14/2021
2/27/2021,AMI_NONRES_EXCL_CAT,416486.594,428925.813,32647,4/14/2021
2/26/2021,AMI_RES_INCL_CAT,4560.103,4695.276,1329,4/14/2021
2/26/2021,AMI_RES_EXCL_CAT,1050803.826,1081613.798,867876,4/14/2021
2/26/2021,AMI_NONRES_INCL_CAT,126178.897,129904.194,1384,4/14/2021
2/26/2021,AMI_NONRES_EXCL_CAT,462824.162,476613.751,32630,4/14/2021
2/25/2021,AMI_RES_INCL_CAT,4471.535,4604.16,1328,4/14/2021
2/25/2021,AMI_RES_EXCL_CAT,916405.55,943269.016,867983,4/14/2021
2/25/2021,AMI_NONRES_INCL_CAT,127419.775,131179.901,1384,4/14/2021
2/25/2021,AMI_NONRES_EXCL_CAT,439634.068,452757.271,32620,4/14/2021
2/24/2021,AMI_RES_INCL_CAT,4530.914,4665.174,1330,4/14/2021
2/24/2021,AMI_RES_EXCL_CAT,961609.432,989785.315,867896,4/14/2021
2/24/2021,AMI_NONRES_INCL_CAT,124280.75,127944.889,1376,4/14/2021
2/24/2021,AMI_NONRES_EXCL_CAT,439543.838,452621.66,32645,4/14/2021
2/23/2021,AMI_RES_INCL_CAT,4306.605,4434.266,1327,4/14/2021
2/23/2021,AMI_RES_EXCL_CAT,933744.151,961098.725,867632,4/14/2021
2/23/2021,AMI_NONRES_INCL_CAT,117552.1,121029.523,1377,4/14/2021
2/23/2021,AMI_NONRES_EXCL_CAT,425445.367,438110.956,32620,4/14/2021
2/22/2021,AMI_RES_INCL_CAT,4583.928,4719.818,1330,4/14/2021
2/22/2021,AMI_RES_EXCL_CAT,1030517.33,1060692.65,867537,4/14/2021
2/22/2021,AMI_NONRES_INCL_CAT,111804.783,115114.649,1377,4/14/2021
2/22/2021,AMI_NONRES_EXCL_CAT,420693.659,433229.609,32586,4/14/2021
2/21/2021,AMI_RES_INCL_CAT,4804.045,4946.647,1329,4/14/2021
2/21/2021,AMI_RES_EXCL_CAT,1197514.411,1232578.665,868013,4/14/2021
2/21/2021,AMI_NONRES_INCL_CAT,92343.991,95104.358,1375,4/14/2021
2/21/2021,AMI_NONRES_EXCL_CAT,377427.733,388721.037,32602,4/14/2021
2/20/2021,AMI_RES_INCL_CAT,4915.872,5061.508,1331,4/14/2021
2/20/2021,AMI_RES_EXCL_CAT,1244608.095,1281076.826,867551,4/14/2021
2/20/2021,AMI_NONRES_INCL_CAT,108646.559,111867.104,1378,4/14/2021
2/20/2021,AMI_NONRES_EXCL_CAT,421112.044,433680.031,32569,4/14/2021
2/19/2021,AMI_RES_INCL_CAT,4866.046,5010.46,1332,4/14/2021
2/19/2021,AMI_RES_EXCL_CAT,1265813.85,1302876.03,866729,4/14/2021
2/19/2021,AMI_NONRES_INCL_CAT,135301.674,139287.655,1378,4/14/2021
2/19/2021,AMI_NONRES_EXCL_CAT,491381.036,506018.482,32546,4/14/2021
2/18/2021,AMI_RES_INCL_CAT,4987.434,5135.213,1336,4/14/2021
2/18/2021,AMI_RES_EXCL_CAT,1278509.372,1315928.401,867015,4/14/2021
2/18/2021,AMI_NONRES_INCL_CAT,123426.589,127064.543,1381,4/14/2021
2/18/2021,AMI_NONRES_EXCL_CAT,495639.868,510386.884,32571,4/14/2021
2/17/2021,AMI_RES_INCL_CAT,5040.976,5190.199,1335,4/14/2021
2/17/2021,AMI_RES_EXCL_CAT,1228437.702,1264383.863,867614,4/14/2021
2/17/2021,AMI_NONRES_INCL_CAT,127697.177,131465.991,1380,4/14/2021
2/17/2021,AMI_NONRES_EXCL_CAT,492881.681,507548.45,32579,4/14/2021
2/16/2021,AMI_RES_INCL_CAT,4859.124,5003.09,1336,4/14/2021
2/16/2021,AMI_RES_EXCL_CAT,1088939.268,1120778.995,866607,4/14/2021
2/16/2021,AMI_NONRES_INCL_CAT,115470.551,118878.232,1377,4/14/2021
2/16/2021,AMI_NONRES_EXCL_CAT,459366.052,473018.292,32547,4/14/2021
2/15/2021,AMI_RES_INCL_CAT,5144.491,5296.958,1337,4/14/2021
2/15/2021,AMI_RES_EXCL_CAT,1416593.944,1458049.646,867874,4/14/2021
2/15/2021,AMI_NONRES_INCL_CAT,111193.646,114492.6,1385,4/14/2021
2/15/2021,AMI_NONRES_EXCL_CAT,472565.109,486656.597,32663,4/14/2021
2/14/2021,AMI_RES_INCL_CAT,5110.645,5262.064,1339,4/14/2021
2/14/2021,AMI_RES_EXCL_CAT,1226390.265,1262309.342,866534,4/14/2021
2/14/2021,AMI_NONRES_INCL_CAT,98474.506,101400.439,1380,4/14/2021
2/14/2021,AMI_NONRES_EXCL_CAT,389648.211,401306.668,32574,4/14/2021
2/13/2021,AMI_RES_INCL_CAT,4985.446,5133.298,1337,4/14/2021
2/13/2021,AMI_RES_EXCL_CAT,1365157.944,1405074.859,866907,4/14/2021
2/13/2021,AMI_NONRES_INCL_CAT,118066.674,121560.346,1381,4/14/2021
2/13/2021,AMI_NONRES_EXCL_CAT,437358.954,450399.223,32595,4/14/2021
2/12/2021,AMI_RES_INCL_CAT,4684.977,4823.88,1340,4/14/2021
2/12/2021,AMI_RES_EXCL_CAT,1054067.191,1084957.756,866537,4/14/2021
2/12/2021,AMI_NONRES_INCL_CAT,125214.392,128913.652,1383,4/14/2021
2/12/2021,AMI_NONRES_EXCL_CAT,453887.3,467394.907,32569,4/14/2021
2/11/2021,AMI_RES_INCL_CAT,4875.949,5020.465,1335,4/14/2021
2/11/2021,AMI_RES_EXCL_CAT,1213382.884,1248897.379,867268,4/14/2021
2/11/2021,AMI_NONRES_INCL_CAT,121971.309,125574.087,1387,4/14/2021
2/11/2021,AMI_NONRES_EXCL_CAT,479653.04,493915.896,32642,4/14/2021
2/10/2021,AMI_RES_INCL_CAT,4933.766,5080.046,1340,4/14/2021
2/10/2021,AMI_RES_EXCL_CAT,1160962.844,1194985.073,866913,4/14/2021
2/10/2021,AMI_NONRES_INCL_CAT,124525.331,128204.089,1383,4/14/2021
2/10/2021,AMI_NONRES_EXCL_CAT,471550.963,485564.514,32562,4/14/2021
2/9/2021,AMI_RES_INCL_CAT,5208.994,5363.129,1335,4/14/2021
2/9/2021,AMI_RES_EXCL_CAT,1257946.398,1294767.8,866293,4/14/2021
2/9/2021,AMI_NONRES_INCL_CAT,129483.508,133310.686,1383,4/14/2021
2/9/2021,AMI_NONRES_EXCL_CAT,481135.963,495439.424,32540,4/14/2021
2/8/2021,AMI_RES_INCL_CAT,4888.351,5033.349,1340,4/14/2021
2/8/2021,AMI_RES_EXCL_CAT,1200906.448,1236067.958,866892,4/14/2021
2/8/2021,AMI_NONRES_INCL_CAT,115317.677,118736.661,1381,4/14/2021
2/8/2021,AMI_NONRES_EXCL_CAT,464293.62,478129.648,32574,4/14/2021
2/7/2021,AMI_RES_INCL_CAT,5090.137,5241.134,1342,4/14/2021
2/7/2021,AMI_RES_EXCL_CAT,1214595.722,1250252.493,867118,4/14/2021
2/7/2021,AMI_NONRES_INCL_CAT,98467.597,101394.262,1386,4/14/2021
2/7/2021,AMI_NONRES_EXCL_CAT,377468.082,388773.558,32608,4/14/2021
2/6/2021,AMI_RES_INCL_CAT,5026.849,5175.924,1339,4/14/2021
2/6/2021,AMI_RES_EXCL_CAT,1200852.127,1236023.21,866844,4/14/2021
2/6/2021,AMI_NONRES_INCL_CAT,105066.548,108180.299,1377,4/14/2021
2/6/2021,AMI_NONRES_EXCL_CAT,404928.658,417009.959,32586,4/14/2021
2/5/2021,AMI_RES_INCL_CAT,4815.705,4958.675,1337,4/14/2021
2/5/2021,AMI_RES_EXCL_CAT,1186059.163,1220805.28,867057,4/14/2021
2/5/2021,AMI_NONRES_INCL_CAT,125366.903,129072.076,1383,4/14/2021
2/5/2021,AMI_NONRES_EXCL_CAT,487505.753,502014.915,32582,4/14/2021
2/4/2021,AMI_RES_INCL_CAT,4631.039,4768.482,1334,4/14/2021
2/4/2021,AMI_RES_EXCL_CAT,1021807.178,1051755.02,866837,4/14/2021
2/4/2021,AMI_NONRES_INCL_CAT,121647.855,125245.952,1378,4/14/2021
2/4/2021,AMI_NONRES_EXCL_CAT,449062.829,462439.227,32547,4/14/2021
2/3/2021,AMI_RES_INCL_CAT,4678.624,4817.418,1338,4/14/2021
2/3/2021,AMI_RES_EXCL_CAT,1041506.422,1072092.17,867099,4/14/2021
2/3/2021,AMI_NONRES_INCL_CAT,121361.082,124937.145,1384,4/14/2021
2/3/2021,AMI_NONRES_EXCL_CAT,454832.362,468368.906,32603,4/14/2021
2/2/2021,AMI_RES_INCL_CAT,4508.368,4642.017,1342,4/14/2021
2/2/2021,AMI_RES_EXCL_CAT,928445.697,955641.881,867046,4/14/2021
2/2/2021,AMI_NONRES_INCL_CAT,114319.458,117701.199,1378,4/14/2021
2/2/2021,AMI_NONRES_EXCL_CAT,507840.273,522868.334,32572,4/14/2021
2/1/2021,AMI_RES_INCL_CAT,4808.086,4950.475,1342,4/14/2021
2/1/2021,AMI_RES_EXCL_CAT,1092311.483,1124313.895,866560,4/14/2021
2/1/2021,AMI_NONRES_INCL_CAT,109105.398,112334.309,1390,4/14/2021
2/1/2021,AMI_NONRES_EXCL_CAT,420381.627,432893.028,32530,4/14/2021
1/31/2021,AMI_RES_INCL_CAT,5621.364,5741.145,1342,4/14/2021
1/31/2021,AMI_RES_EXCL_CAT,1567053.636,1599576.821,866790,4/14/2021
1/31/2021,AMI_NONRES_INCL_CAT,107707.479,110006.381,1392,4/14/2021
1/31/2021,AMI_NONRES_EXCL_CAT,406356.526,415287.129,32539,4/14/2021
1/30/2021,AMI_RES_INCL_CAT,5954.129,6080.523,1338,4/14/2021
