USAGE_DATE,SoCal_AMI_NONAMI_MDTH,SoCal_CUST_COUNT,SD_AMI_NONAMI_MDTH,SD_CUST_COUNT,SEU_AMI_NONAMI_MDTH,SEU_CUST_COUNT
2020-05-25,627.0660851,5995087.0,90.47078111190001,901408.0,717.5368662119,6896495.0
2020-05-24,634.4950526,5994730.0,90.7931461119,901466.0,725.2881987119,6896196.0
2020-05-23,651.7449249,5995189.0,92.42993211190002,900656.0,744.1748570119,6895845.0
2020-05-22,655.4068394000001,5994923.0,91.70804101190001,902432.0,747.1148804119001,6897355.0
2020-05-21,657.4112792000001,5995101.0,92.1981191119,901357.0,749.6093983119001,6896458.0
2020-05-20,682.351764,5994592.0,91.4575081119,901327.0,773.8092721119,6895919.0
2020-05-19,689.600048,5995449.0,89.1850086119,901114.0,778.7850566119,6896563.0
2020-05-18,637.6077879000001,5993778.0,85.3391688119,902250.0,722.9469567119,6896028.0
2020-05-17,599.3774368,5992941.0,87.4026557119,901578.0,686.7800925119001,6894519.0
2020-05-16,628.316475,5993230.0,89.5813260119,900896.0,717.8978010119,6894126.0
2020-05-15,645.6745162000001,5992624.0,87.9306834119,900714.0,733.6051996119,6893338.0
2020-05-14,658.8384665,5992799.0,90.2593529119,901521.0,749.0978194119,6894320.0
2020-05-13,670.5819259000001,5992027.0,88.21279891190001,900596.0,758.7947248119001,6892623.0
2020-05-12,661.4927269,5992841.0,88.8841633119,901966.0,750.3768902119,6894807.0
2020-05-11,621.0062497,5991765.0,86.0735897119,901232.0,707.0798394119,6892997.0
2020-05-10,602.5915159,5991043.0,85.9836905119,901633.0,688.5752064119,6892676.0
2020-05-09,604.8603290000001,5991203.0,85.97552621189999,900951.0,690.8358552119,6892154.0
2020-05-08,602.2961316999999,5991170.0,85.6632173119,900906.0,687.9593490118999,6892076.0
2020-05-07,596.7103648,5991209.0,84.9439677119,901101.0,681.6543325119,6892310.0
2020-05-06,604.9442914000001,5990791.0,83.5406695119,900919.0,688.4849609119001,6891710.0
2020-05-05,619.5320619000001,5992154.0,85.2276995119,900985.0,704.7597614119002,6893139.0
2020-05-04,636.1374417999999,5990986.0,87.0387133119,900585.0,723.1761551118999,6891571.0
2020-05-03,631.9440006,5990189.0,89.8000701119,901163.0,721.7440707119,6891352.0
2020-05-02,647.5850579,5989764.0,92.91134211190001,900967.0,740.4964000119,6890731.0
2020-05-01,643.7040929000001,5990027.0,89.6169784119,900697.0,733.3210713119001,6890724.0
2020-04-30,647.1769201,5990942.0,91.51457489939999,901143.0,738.6914949994,6892085.0
2020-04-29,643.3817316,5990454.0,90.89820119939999,901243.0,734.2799327994,6891697.0
2020-04-28,636.1483575,5991133.0,89.8875577994,901181.0,726.0359152994,6892314.0
2020-04-27,640.4246421999999,5990390.0,89.5107524994,901301.0,729.9353946993999,6891691.0
2020-04-26,622.3931083000001,5988757.0,88.16100909939999,901233.0,710.5541173994001,6889990.0
2020-04-25,646.0381546,5988692.0,92.22927079940001,901259.0,738.2674253994,6889951.0
2020-04-24,672.6950016,5988736.0,93.7344644994,901335.0,766.4294660994,6890071.0
2020-04-23,700.3004697,5989217.0,97.6117500994,901154.0,797.9122197994,6890371.0
2020-04-22,780.9458760000001,5988911.0,107.00645899939998,901243.0,887.9523349994001,6890154.0
2020-04-21,829.7370718000001,5987794.0,106.80704239939999,901217.0,936.5441141994,6889011.0
2020-04-20,854.5617947000001,5986959.0,113.65942399939999,901481.0,968.2212186994001,6888440.0
2020-04-19,847.805993,5986163.0,117.96987239939999,901174.0,965.7758653993999,6887337.0
2020-04-18,879.2124877999998,5986165.0,116.14113469939998,901136.0,995.3536224993999,6887301.0
2020-04-17,843.5935439000001,5986174.0,115.6859512994,901668.0,959.2794951994001,6887842.0
2020-04-16,791.9991527,5986545.0,111.2288104994,900851.0,903.2279631993999,6887396.0
2020-04-15,832.8908334,5986060.0,114.4170009994,900597.0,947.3078343994,6886657.0
2020-04-14,948.5280025000001,5986762.0,121.4276171994,900441.0,1069.9556196994001,6887203.0
2020-04-13,1030.5048152,5985542.0,137.7282092994,899448.0,1168.2330244994,6884990.0
2020-04-12,1006.5743764999999,5984587.0,138.3992976994,901352.0,1144.9736741993997,6885939.0
2020-04-11,1054.9185866999999,5984934.0,157.66998469939998,899654.0,1212.5885713993998,6884588.0
2020-04-10,1393.9314178999998,5984830.0,197.6893818994,898174.0,1591.6207997993997,6883004.0
2020-04-09,1553.0593489999999,5984874.0,173.20814069940002,900131.0,1726.2674896994,6885005.0
2020-04-08,1310.1446993999998,5984497.0,158.3479962994,901176.0,1468.4926956993997,6885673.0
2020-04-07,1217.7170554,5985609.0,149.4696881994,900194.0,1367.1867435994,6885803.0
2020-04-06,1189.4434003,5984484.0,142.96447499939998,900152.0,1332.4078752993998,6884636.0
2020-04-05,965.7615821999999,5984442.0,130.9173580994,901999.0,1096.6789402994,6886441.0
2020-04-04,915.0414284,5985145.0,123.9603282994,901535.0,1039.0017566994,6886680.0
2020-04-03,905.2216161,5985494.0,124.8595140994,893698.0,1030.0811301994,6879192.0
2020-04-02,838.4545044,5986610.0,114.49393889939999,900511.0,952.9484432994,6887121.0
2020-04-01,818.8682888000001,5986544.0,125.2356171994,901184.0,944.1039059994,6887728.0
2020-03-31,909.4410605,6001038.0,130.8936921604,901310.0,1040.3347526604,6902348.0
2020-03-30,1030.5660086999999,5999386.0,131.94736386039997,901339.0,1162.5133725603998,6900725.0
2020-03-29,1079.3726084999998,5998810.0,148.38259856039997,901586.0,1227.7552070603997,6900396.0
2020-03-28,1178.0137055000002,5999027.0,168.76248906040001,900619.0,1346.7761945604002,6899646.0
2020-03-27,1341.8587059000001,6004178.0,174.1229363604,900484.0,1515.9816422604001,6904662.0
2020-03-26,1373.1770567,6004236.0,163.3023817604,902096.0,1536.4794384604002,6906332.0
2020-03-25,1162.8272194,5998338.0,139.4763520604,901954.0,1302.3035714604,6900292.0
