USAGE_DATE,SoCal,SD,SEU,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,month_sine,month_cosine,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Holiday,day_of_year_sine,day_of_year_cosine,SoCal_HDD,SD_HDD,SEU_HDD,SoCal_CDD,SD_CDD,SEU_CDD,SoCal_HDD_7,SD_HDD_7,SEU_HDD_7,SoCal_t-3,SoCal_t-3_HDD,SoCal_t-3_HDD_7,SoCal_t-3_CDD,SoCal_t-2,SoCal_t-2_HDD,SoCal_t-2_HDD_7,SoCal_t-2_CDD,SoCal_t-1,SoCal_t-1_HDD,SoCal_t-1_HDD_7,SoCal_t-1_CDD,SD_t-3,SD_t-3_HDD,SD_t-3_HDD_7,SD_t-3_CDD,SD_t-2,SD_t-2_HDD,SD_t-2_HDD_7,SD_t-2_CDD,SD_t-1,SD_t-1_HDD,SD_t-1_HDD_7,SD_t-1_CDD,SEU_t-3,SEU_t-3_HDD,SEU_t-3_HDD_7,SEU_t-3_CDD,SEU_t-2,SEU_t-2_HDD,SEU_t-2_HDD_7,SEU_t-2_CDD,SEU_t-1,SEU_t-1_HDD,SEU_t-1_HDD_7,SEU_t-1_CDD
2021-06-19,75.7657047685,71.2692995825,75.18117209432,0,0,0,0,0,1,0,0,0,0,0,0,-0.2817325568414294,-0.9594929736144975,0,0,0,0,0,1,0,False,0.937431238577155,-0.34817046534664736,0.0,0.0,0.0,10.765704768500001,6.269299582499997,10.181172094320004,0.0,0.0,0.0,78.73323502099998,0.0,0.0,13.733235020999984,78.25803211549999,0.0,0.0,13.258032115499987,76.7834713235,0.0,0.0,11.783471323499995,70.9764298155,0.0,0.0,5.976429815499998,70.7300116705,0.0,0.0,5.730011670500005,69.8951629375,0.0,0.0,4.895162937500004,77.72485034428499,0.0,0.0,12.724850344284988,77.27938945764998,0.0,0.0,12.279389457649984,75.88799123332,0.0,0.0,10.887991233319994
2021-06-18,76.7834713235,69.8951629375,75.88799123332,0,0,0,0,0,1,0,0,0,0,0,0,-0.2817325568414294,-0.9594929736144975,0,0,0,0,1,0,0,False,0.9432855302464028,-0.3319825423539055,0.0,0.0,0.0,11.783471323499995,4.895162937500004,10.887991233319994,0.0,0.0,0.0,81.237306767,0.0,0.0,16.237306767000007,78.73323502099998,0.0,0.0,13.733235020999984,78.25803211549999,0.0,0.0,13.258032115499987,77.685962165,0.0,0.0,12.685962165000007,70.9764298155,0.0,0.0,5.976429815499998,70.7300116705,0.0,0.0,5.730011670500005,80.77563196874,0.0,0.0,15.77563196874,77.72485034428499,0.0,0.0,12.724850344284988,77.27938945764998,0.0,0.0,12.279389457649984
2021-06-17,78.25803211549999,70.7300116705,77.27938945764998,0,0,0,0,0,1,0,0,0,0,0,0,-0.2817325568414294,-0.9594929736144975,0,0,0,1,0,0,0,False,0.9488603060552695,-0.3156962457690941,0.0,0.0,0.0,13.258032115499987,5.730011670500005,12.279389457649984,0.0,0.0,0.0,77.64590215999999,0.0,0.0,12.645902159999991,81.237306767,0.0,0.0,16.237306767000007,78.73323502099998,0.0,0.0,13.733235020999984,69.8951629375,0.0,0.0,4.895162937500004,77.685962165,0.0,0.0,12.685962165000007,70.9764298155,0.0,0.0,5.976429815499998,76.63830606107499,0.0,0.0,11.638306061074985,80.77563196874,0.0,0.0,15.77563196874,77.72485034428499,0.0,0.0,12.724850344284988
2021-06-16,78.73323502099998,70.9764298155,77.72485034428499,0,0,0,0,0,1,0,0,0,0,0,0,-0.2817325568414294,-0.9594929736144975,0,0,1,0,0,0,0,False,0.9541539140773694,-0.29931640157337835,0.0,0.0,0.0,13.733235020999984,5.976429815499998,12.724850344284988,0.0,0.0,0.0,75.4732943925,0.0,0.0,10.473294392499994,77.64590215999999,0.0,0.0,12.645902159999991,81.237306767,0.0,0.0,16.237306767000007,69.3616937905,0.0,0.0,4.361693790499999,69.8951629375,0.0,0.0,4.895162937500004,77.685962165,0.0,0.0,12.685962165000007,74.67878631424,0.0,0.0,9.67878631424,76.63830606107499,0.0,0.0,11.638306061074985,80.77563196874,0.0,0.0,15.77563196874
2021-06-15,81.237306767,77.685962165,80.77563196874,0,0,0,0,0,1,0,0,0,0,0,0,-0.2817325568414294,-0.9594929736144975,0,1,0,0,0,0,0,False,0.9591647857024003,-0.2828478634680994,0.0,0.0,0.0,16.237306767000007,12.685962165000007,15.77563196874,0.0,0.0,0.0,73.67070175849999,0.0,0.0,8.670701758499987,75.4732943925,0.0,0.0,10.473294392499994,77.64590215999999,0.0,0.0,12.645902159999991,67.206105998,0.0,0.0,2.206105997999998,69.3616937905,0.0,0.0,4.361693790499999,69.8951629375,0.0,0.0,4.895162937500004,72.83030430963498,0.0,0.0,7.8303043096349825,74.67878631424,0.0,0.0,9.67878631424,76.63830606107499,0.0,0.0,11.638306061074985
2021-06-14,77.64590215999999,69.8951629375,76.63830606107499,0,0,0,0,0,1,0,0,0,0,0,0,-0.2817325568414294,-0.9594929736144975,1,0,0,0,0,0,0,False,0.9638914361009562,-0.26629551143651714,0.0,0.0,0.0,12.645902159999991,4.895162937500004,11.638306061074985,0.0,0.0,0.0,71.1287234735,0.0,0.0,6.128723473500003,73.67070175849999,0.0,0.0,8.670701758499987,75.4732943925,0.0,0.0,10.473294392499994,65.9354677335,0.0,0.0,0.9354677335000048,67.206105998,0.0,0.0,2.206105997999998,69.3616937905,0.0,0.0,4.361693790499999,70.4536002273,0.0,0.0,5.453600227300001,72.83030430963498,0.0,0.0,7.8303043096349825,74.67878631424,0.0,0.0,9.67878631424
2021-06-13,75.4732943925,69.3616937905,74.67878631424,0,0,0,0,0,1,0,0,0,0,0,0,-0.2817325568414294,-0.9594929736144975,0,0,0,0,0,0,1,False,0.9683324646645143,-0.24966425029776929,0.0,0.0,0.0,10.473294392499994,4.361693790499999,9.67878631424,0.0,0.0,0.0,67.26923606449999,0.0,0.0,2.2692360644999923,71.1287234735,0.0,0.0,6.128723473500003,73.67070175849999,0.0,0.0,8.670701758499987,63.63635443999999,1.363645560000009,0.0,0.0,65.9354677335,0.0,0.0,0.9354677335000048,67.206105998,0.0,0.0,2.206105997999998,66.79696145331499,0.0,0.0,1.7969614533149922,70.4536002273,0.0,0.0,5.453600227300001,72.83030430963498,0.0,0.0,7.8303043096349825
2021-06-12,73.67070175849999,67.206105998,72.83030430963498,0,0,0,0,0,1,0,0,0,0,0,0,-0.2817325568414294,-0.9594929736144975,0,0,0,0,0,1,0,False,0.9724865554204661,-0.23295900825346236,0.0,0.0,0.0,8.670701758499987,2.206105997999998,7.8303043096349825,0.0,0.0,0.0,68.93479360699999,0.0,0.0,3.934793606999989,67.26923606449999,0.0,0.0,2.2692360644999923,71.1287234735,0.0,0.0,6.128723473500003,66.89778044849999,0.0,0.0,1.8977804484999865,63.63635443999999,1.363645560000009,0.0,0.0,65.9354677335,0.0,0.0,0.9354677335000048,68.66998189639499,0.0,0.0,3.6699818963949866,66.79696145331499,0.0,0.0,1.7969614533149922,70.4536002273,0.0,0.0,5.453600227300001
2021-06-11,71.1287234735,65.9354677335,70.4536002273,0,0,0,0,0,1,0,0,0,0,0,0,-0.2817325568414294,-0.9594929736144975,0,0,0,0,1,0,0,False,0.976352477422068,-0.21618473542734276,0.0,0.0,0.0,6.128723473500003,0.9354677335000048,5.453600227300001,0.0,0.0,0.0,67.576609822,0.0,0.0,2.5766098219999947,68.93479360699999,0.0,0.0,3.934793606999989,67.26923606449999,0.0,0.0,2.2692360644999923,66.2064572165,0.0,0.0,1.2064572164999987,66.89778044849999,0.0,0.0,1.8977804484999865,63.63635443999999,1.363645560000009,0.0,0.0,67.39848998328499,0.0,0.0,2.398489983284989,68.66998189639499,0.0,0.0,3.6699818963949866,66.79696145331499,0.0,0.0,1.7969614533149922
2021-06-10,67.26923606449999,63.63635443999999,66.79696145331499,0,0,0,0,0,1,0,0,0,0,0,0,-0.2817325568414294,-0.9594929736144975,0,0,0,1,0,0,0,False,0.9799290851131975,-0.19934640239846732,0.0,1.363645560000009,0.0,2.2692360644999923,0.0,1.7969614533149922,0.0,0.0,0.0,65.67503521449999,0.0,0.0,0.6750352144999852,67.576609822,0.0,0.0,2.5766098219999947,68.93479360699999,0.0,0.0,3.934793606999989,63.93191526099999,1.0680847390000068,0.0,0.0,66.2064572165,0.0,0.0,1.2064572164999987,66.89778044849999,0.0,0.0,1.8977804484999865,65.44842962054499,0.0,0.0,0.44842962054498514,67.39848998328499,0.0,0.0,2.398489983284989,68.66998189639499,0.0,0.0,3.6699818963949866
