,ZIP_CD,labels
481,92844.0,6
482,92845.0,6
483,92860.0,9
484,92861.0,6
485,92865.0,6
486,92866.0,6
487,92867.0,6
488,92868.0,6
489,92869.0,6
490,92870.0,6
491,92878.0,9
492,92879.0,9
493,92880.0,9
494,92881.0,9
495,92882.0,9
496,92883.0,13
497,92886.0,6
498,92887.0,12
499,93001.0,2
500,93003.0,2
501,93004.0,2
502,93010.0,2
503,93012.0,2
504,93013.0,7
505,93015.0,2
506,93021.0,16
507,93022.0,7
508,93023.0,7
509,93030.0,2
510,93033.0,2
511,93035.0,2
512,93036.0,2
513,93040.0,16
514,93041.0,2
515,93043.0,2
516,93060.0,2
517,93063.0,16
518,93064.0,16
519,93065.0,16
520,93066.0,2
521,93067.0,10
522,93101.0,10
523,93103.0,10
524,93105.0,4
525,93108.0,10
526,93109.0,10
527,93110.0,4
528,93111.0,4
529,93117.0,4
530,93118.0,22
531,93201.0,5
532,93202.0,25
533,93203.0,4
534,93204.0,5
535,93206.0,18
536,93212.0,5
537,93215.0,5
538,93219.0,5
539,93221.0,5
540,93223.0,5
541,93224.0,18
542,93225.0,7
543,93227.0,5
544,93230.0,25
545,93235.0,25
546,93241.0,4
547,93242.0,25
548,93243.0,7
549,93245.0,25
550,93247.0,5
551,93249.0,5
552,93250.0,5
553,93251.0,18
554,93252.0,18
555,93254.0,1
556,93256.0,5
557,93257.0,5
558,93261.0,5
559,93263.0,18
560,93265.0,5
561,93266.0,5
562,93267.0,5
563,93268.0,18
564,93270.0,5
565,93272.0,5
566,93274.0,5
567,93276.0,18
568,93277.0,5
569,93280.0,5
570,93286.0,5
571,93291.0,25
572,93292.0,5
573,93301.0,10
574,93307.0,4
575,93308.0,18
576,93309.0,18
577,93311.0,18
578,93312.0,18
579,93313.0,10
580,93314.0,18
581,93401.0,1
582,93402.0,1
583,93405.0,1
584,93420.0,1
585,93421.0,1
586,93422.0,1
587,93424.0,1
588,93427.0,1
589,93428.0,1
590,93430.0,1
591,93433.0,1
592,93434.0,1
593,93435.0,1
594,93436.0,1
595,93437.0,1
596,93440.0,1
597,93441.0,1
598,93442.0,1
599,93444.0,1
600,93445.0,1
601,93446.0,1
602,93449.0,1
603,93451.0,1
604,93452.0,1
605,93453.0,1
606,93454.0,1
607,93455.0,1
608,93458.0,1
609,93460.0,1
610,93463.0,1
611,93465.0,1
612,93501.0,10
613,93505.0,18
614,93510.0,3
615,93532.0,7
616,93534.0,3
617,93535.0,3
618,93536.0,3
619,93543.0,3
620,93544.0,3
621,93550.0,3
622,93551.0,3
623,93552.0,3
624,93560.0,7
625,93561.0,18
626,93591.0,3
627,93609.0,25
628,93615.0,25
629,93616.0,25
630,93618.0,25
631,93625.0,25
632,93630.0,25
633,93631.0,25
634,93646.0,25
635,93647.0,25
636,93648.0,25
637,93652.0,25
638,93654.0,25
639,93656.0,25
640,93660.0,25
641,93662.0,25
642,93666.0,25
643,93670.0,25
644,93673.0,25
645,93706.0,25
646,93722.0,9
647,93725.0,25
