,SurveyQuestion,Date_of_Survey,pct_excellent,pct_gfp,net_score
0,1,2019-05,55.55555555555556,11.399832355406538,4415.6
1,1,2019-06,64.20454545454545,11.399832355406538,5280.5
2,1,2019-07,61.07594936708861,11.399832355406538,4967.6
3,1,2019-08,65.5844155844156,11.399832355406538,5418.5
4,1,2019-09,71.17903930131004,11.399832355406538,5977.9
5,1,2019-10,67.24738675958189,11.399832355406538,5584.8
6,1,2019-11,67.36842105263158,11.399832355406538,5596.9
7,1,2019-12,60.913705583756354,11.399832355406538,4951.4
8,1,2020-01,65.19823788546255,11.399832355406538,5379.8
9,1,2020-02,57.333333333333336,11.399832355406538,4593.4
10,1,2020-03,61.904761904761905,11.399832355406538,5050.5
11,2,2019-05,53.96825396825397,11.399832355406538,4256.8
12,2,2019-06,61.93181818181818,11.399832355406538,5053.2
13,2,2019-07,52.84810126582279,11.399832355406538,4144.8
14,2,2019-08,59.41558441558441,11.399832355406538,4801.6
15,2,2019-09,63.75545851528385,11.399832355406538,5235.6
16,2,2019-10,60.278745644599304,11.399832355406538,4887.9
17,2,2019-11,62.63157894736842,11.399832355406538,5123.2
18,2,2019-12,57.360406091370564,11.399832355406538,4596.1
19,2,2020-01,56.38766519823789,11.399832355406538,4498.8
20,2,2020-02,53.77777777777778,11.399832355406538,4237.8
21,2,2020-03,56.547619047619044,11.399832355406538,4514.8
